"","importId","No.participants","player1","player2","player3"
"1",13149,1,"13149",NA,NA
"2",13662,1,"13064",NA,NA
"3",14189,2,"hcastro2","13131",NA
"4",19487,2,"13099","13138",NA
"5",19737,1,"mmustapha",NA,NA
"6",20272,1,"13072",NA,NA
"7",20340,1,"13117",NA,NA
"8",26316,1,"13119",NA,NA
"9",26365,2,"13063","13085",NA
"10",27371,1,"13091",NA,NA
"11",28567,1,"13096",NA,NA
"12",29690,2,"13110","13070",NA
"13",31601,2,"13076","13106",NA
"14",35291,1,"13093",NA,NA
"15",36088,2,"13090","891160",NA
"16",36524,2,"13059","13107",NA
"17",37196,1,"13143",NA,NA
"18",37887,1,"13069",NA,NA
"19",39232,2,"13120","787069",NA
"20",39277,1,"905560",NA,NA
"21",42292,1,"13086",NA,NA
"22",43580,1,"13111",NA,NA
"23",47326,1,"13160",NA,NA
"24",49030,1,"13118",NA,NA
"25",49589,1,"13067",NA,NA
"26",50905,2,"13123","13134",NA
"27",51325,2,"BryceBollman","13105",NA
"28",53463,1,"13155",NA,NA
"29",53968,2,"13058","13154",NA
"30",56864,1,"13112",NA,NA
"31",58601,1,"13145",NA,NA
"32",58692,1,"13148",NA,NA
"33",62686,3,"13071","13156","13126"
"34",64140,1,"13087",NA,NA
"35",66473,2,"13095","13135",NA
"36",67505,2,"13130","626826",NA
"37",68825,1,"13109",NA,NA
"38",70176,1,"13121",NA,NA
"39",73406,1,"13073",NA,NA
"40",74045,1,"13094",NA,NA
"41",75842,2,"13077","13108",NA
"42",78276,2,"13078","13132",NA
"43",79463,1,"13066",NA,NA
"44",79869,1,"13080",NA,NA
"45",80393,2,"13075","632368",NA
"46",85609,2,"13129","13141",NA
"47",89675,1,"13082",NA,NA
"48",91484,1,"13137",NA,NA
"49",91733,1,"13097",NA,NA
"50",92567,1,"13116",NA,NA
"51",94317,1,"13152",NA,NA
"52",96815,1,"635364",NA,NA
"53",97388,1,"13122",NA,NA
"54",98615,1,"13056",NA,NA
"55",98763,1,"13079",NA,NA
"56",67590,0,NA,NA,NA
"57",51310,0,NA,NA,NA
"58",27392,0,NA,NA,NA
"59",16229,0,NA,NA,NA
"60",55983,0,NA,NA,NA
"61",71814,0,NA,NA,NA
"62",93884,0,NA,NA,NA
"63",86933,0,NA,NA,NA
"64",53007,0,NA,NA,NA
"65",88653,0,NA,NA,NA
"66",82980,0,NA,NA,NA
"67",84838,0,NA,NA,NA
"68",50151,0,NA,NA,NA
"69",32385,0,NA,NA,NA
"70",63576,0,NA,NA,NA
"71",93940,0,NA,NA,NA
"72",93952,0,NA,NA,NA
"73",87384,0,NA,NA,NA
"74",30838,0,NA,NA,NA
"75",43467,0,NA,NA,NA
"76",13861,0,NA,NA,NA
"77",36961,0,NA,NA,NA
"78",29499,0,NA,NA,NA
"79",74257,0,NA,NA,NA
"80",97778,0,NA,NA,NA
"81",24954,0,NA,NA,NA
"82",85713,0,NA,NA,NA
